pt,age_band,a,n_drug_group,n_pt_group,n_total_group,ror,ror_ci_lower,ror_ci_upper,continuity_corrected,concentrated_in
Stomatitis,18-64,15,112,2495,585156,36.32549052211507,21.05837355534269,62.661119492653924,False,
Stomatitis,65-74,7,62,834,228004,34.95229196438386,15.870857663206694,76.97521706061954,False,
Stomatitis,>=75,1,22,616,198340,15.30801393728223,2.0558541901405842,113.98439238923002,False,
Stomatitis,Unknown,41,220,1518,716403,110.8352125514878,78.63956795783271,156.2120019265685,False,
Disease progression,18-64,43,112,3787,585156,96.75732379536727,66.02571682938596,141.79292793190572,False,
Disease progression,65-74,16,62,1520,228004,52.367715078630894,29.58196368227317,92.70437933097797,False,
Disease progression,>=75,6,22,1083,198340,68.67722841225627,26.822199543706088,175.8454482714476,False,
Disease progression,Unknown,21,220,3920,716403,19.278186263453716,12.282376904016141,30.258676192137735,False,
Prescribed underdose,18-64,6,112,962,585156,34.58324780926818,15.156432934628723,78.91045565904128,False,
Prescribed underdose,65-74,1,62,151,228004,24.895300546448087,3.428780623183909,180.75696797494874,False,
Prescribed underdose,>=75,1,22,148,198340,64.19533527696792,8.578841879504955,480.37265742915474,False,
Prescribed underdose,Unknown,1,220,687,716403,4.762550421342706,0.6669016925213902,34.01083963376519,False,
Interstitial lung disease,18-64,5,112,1145,585156,23.934415477947205,9.74400442141788,58.79063878622918,False,
Interstitial lung disease,65-74,3,62,1172,228004,9.863841324614693,3.087721113591003,31.510412403801105,False,
Interstitial lung disease,>=75,0,22,1248,198340,3.5076847772883015,0.21265503790089568,57.85826951606992,True,
Interstitial lung disease,Unknown,8,220,1127,716403,24.11398317230681,11.875082070271457,48.96675079745397,False,
No adverse event,18-64,11,112,3661,585156,17.347983181879833,9.302787367933071,32.35078999184437,False,
No adverse event,65-74,8,62,1108,228004,30.551111111111112,14.505363645389805,64.34656951327845,False,
No adverse event,>=75,3,22,873,198340,35.83448275862069,10.584808373744167,121.31633462190446,False,
No adverse event,Unknown,20,220,13068,716403,5.388833537706928,3.401927282474882,8.536198597398847,False,
Dry eye,18-64,1,112,3413,585156,1.5357350316318663,0.21436234141906232,11.002315386967494,False,Unknown
Dry eye,65-74,0,62,1077,228004,1.684384222737819,0.10412455909843929,27.247656406648964,True,Unknown
Dry eye,>=75,1,22,736,198340,12.800971817298349,1.7195971283301366,95.29259892774543,False,Unknown
Dry eye,Unknown,11,220,2066,716403,18.2898706620566,9.95912143086171,33.589244910513614,False,Unknown
Infusion related reaction,18-64,4,112,3703,585156,5.82084246993682,2.14456847690348,15.799079126977727,False,
Infusion related reaction,65-74,0,62,982,228004,1.848024427480916,0.11423332710402817,29.896654252712736,True,
Infusion related reaction,>=75,0,22,716,198340,6.128634566178181,0.3713999774089573,101.1312976047805,True,
Infusion related reaction,Unknown,10,220,2913,716403,11.700211603759657,6.197639320247435,22.088241102627872,False,
Off label use,18-64,24,112,45801,585156,3.2128103235646326,2.045598347039922,5.046029779081567,False,
Off label use,65-74,12,62,16082,228004,3.164236465463597,1.6848151722577092,5.942724504286493,False,
Off label use,>=75,6,22,12727,198340,5.471179545633205,2.1405091584183324,13.9844323967639,False,
Off label use,Unknown,24,220,40365,716403,2.0514157622593916,1.342508798294944,3.134658510239225,False,
